RH5,RH10,RH15,RH20,RH25,RH30,RH35,RH40,RH45,RH50,RH55,RH60,RH65,RH70,RH75,RH80,RH85,RH90,RH95,RH100,AGB
0.3,0.83,1.5,2.06,3.17,4.14,5.08,5.32,6.18,7.15,8.5,10.05,11.1,12.08,13.12,14.17,15.53,17.15,19.63,33.8,100.595124
0.05,1.18,2.78,4.22,5.49,6.6,7.61,8.47,9.22,8.88,9.7,10.6,11.63,12.58,13.72,15.1,18.43,22.53,25.9,40.68,210.7827815
0.3,1.54,1.76,2.79,3.77,4.74,5.83,6.9,8.42,8.76,8.45,9.35,10.38,11.23,12.22,13.35,15.58,18.43,20.77,33.45,89.8386024
0,0.64,2.02,2.4,3.3,3.45,4.14,4.76,4.84,5.64,5.77,6.83,8.33,9.87,10.87,11.82,13,15.65,19.57,32.75,78.4766048
1.8,2.03,3.73,5.47,6.97,8.37,9.63,11.08,12.92,14.53,16,17.22,18.35,19.52,20.95,22.37,23.95,26.23,28.97,43.55,246.3243194
1.8,2.6,4.25,5.8,7.75,9.5,9.3,8.08,9,10.15,12.37,14.03,15.5,17.42,19.2,20.45,21.68,23.18,25.1,39.25,57.86841185
1.3,3.58,5.13,6.62,7.92,9.08,10.67,12.82,13.95,15.22,16.67,19.3,21.75,24.82,26.32,27.77,29.63,33.5,36.03,46.1,528.4493505
0,0.71,1.41,2.63,4.02,5.37,6.5,7.42,8.25,9.08,9.93,10.98,12.18,13.42,14.78,16.45,18.38,20.28,22.65,32.27,182.422896
0,0.3,1,2.15,3.25,4.25,5.1,5.83,6.53,7.22,7.83,8.47,9.17,10.05,10.87,11.88,13.23,14.38,16.13,24,158.6870245
0,0.25,1,2.33,3.97,5.57,6.88,8.05,9.15,10.2,11.28,12.52,13.88,15.17,16.48,17.88,19.37,20.9,22.83,31.55,282.4035291
0,0,0.3,0.72,1.2,1.99,2.43,3.05,3.73,4.42,5.2,6.98,7.87,8.7,10.02,12.43,15.12,17.13,20.78,31.18,169.0184902
0,0.25,0.87,1.54,2.3,3.38,4.4,5.33,6.23,7.08,7.9,8.72,9.47,10.32,11.23,12.33,14.25,16.42,18.55,28.33,177.8860424
0,0.45,0.45,1.18,1.95,2.29,2.98,3.6,3.6,3.78,4.32,4.83,5.4,6.02,6.78,8.18,9.28,10.93,14.6,24.02,58.3559999
